Isolation Forest (PCA),Isolation Forest (Stats),Mahalanobis Distance,Combined (≥2 methods),row_index
False,False,False,False,ACH-000241
False,False,False,False,ACH-001194
False,False,False,False,ACH-001987
False,True,False,False,ACH-002055
False,False,False,False,ACH-002689
False,False,False,False,ACH-001443
False,False,False,False,ACH-000688
False,False,False,False,ACH-000405
False,False,False,False,ACH-000821
False,False,False,False,ACH-001677
False,False,False,False,ACH-002526
False,False,False,False,ACH-001627
False,False,False,False,ACH-000951
False,False,False,False,ACH-001036
False,False,False,False,ACH-002792
False,False,False,False,ACH-000547
False,False,False,False,ACH-000826
False,False,False,False,ACH-001986
False,True,False,False,ACH-001147
False,False,False,False,ACH-002927
False,False,False,False,ACH-002470
False,False,False,False,ACH-000162
False,False,False,False,ACH-003139
False,False,False,False,ACH-001751
False,False,False,False,ACH-000018
False,False,False,False,ACH-000721
False,False,False,False,ACH-000003
False,False,False,False,ACH-000092
False,False,False,False,ACH-000669
True,False,False,False,ACH-001099
False,False,False,False,ACH-000648
False,False,False,False,ACH-000950
False,False,False,False,ACH-000050
False,False,False,False,ACH-001106
False,False,False,False,ACH-002051
False,False,False,False,ACH-000367
False,False,False,False,ACH-000589
False,False,False,False,ACH-000564
False,False,False,False,ACH-001522
False,False,False,False,ACH-000831
False,False,False,False,ACH-000424
False,False,False,False,ACH-000409
False,False,False,False,ACH-000616
False,False,False,False,ACH-000628
False,False,False,False,ACH-000512
False,False,False,False,ACH-000232
False,False,False,False,ACH-000820
False,False,False,False,ACH-001295
False,True,False,False,ACH-001164
False,False,False,False,ACH-000806
False,False,False,False,ACH-002524
False,False,False,False,ACH-000645
False,False,False,False,ACH-000099
False,False,False,False,ACH-000902
False,False,False,False,ACH-000649
False,False,False,False,ACH-000086
False,False,False,False,ACH-000149
False,False,False,False,ACH-002538
False,False,False,False,ACH-000142
False,False,False,False,ACH-002535
False,False,False,False,ACH-000227
False,False,False,False,ACH-000697
False,False,False,False,ACH-000942
False,False,False,False,ACH-000264
False,False,False,False,ACH-000809
False,False,False,False,ACH-000093
False,False,False,False,ACH-000100
False,True,False,False,ACH-001445
False,False,False,False,ACH-000060
False,False,False,False,ACH-000001
False,False,False,False,ACH-000957
False,False,False,False,ACH-000650
False,False,False,False,ACH-001096
False,False,False,False,ACH-002799
False,False,False,False,ACH-002404
False,False,False,False,ACH-000239
False,False,False,False,ACH-000762
False,False,False,False,ACH-000922
False,False,False,False,ACH-002784
False,True,False,False,ACH-002653
False,False,False,False,ACH-000859
False,False,False,False,ACH-000990
False,False,False,False,ACH-000410
False,False,False,False,ACH-001971
False,False,False,False,ACH-000927
False,False,False,False,ACH-001853
False,False,False,False,ACH-001978
False,False,False,False,ACH-000694
False,False,False,False,ACH-000935
False,False,False,False,ACH-000918
False,False,False,False,ACH-001984
False,False,False,False,ACH-000761
False,False,False,False,ACH-001563
False,False,False,False,ACH-000974
False,False,False,False,ACH-000297
False,False,False,False,ACH-001719
False,False,False,False,ACH-000243
False,False,False,False,ACH-001418
False,False,False,False,ACH-000362
False,False,False,False,ACH-000843
False,False,False,False,ACH-002052
False,False,False,False,ACH-000840
False,False,False,False,ACH-001852
False,False,False,False,ACH-001528
False,False,False,False,ACH-001656
False,False,False,False,ACH-000016
False,False,False,False,ACH-000165
False,False,False,False,ACH-001460
False,False,False,False,ACH-000592
False,False,False,False,ACH-001192
False,False,False,False,ACH-000045
False,False,False,False,ACH-000741
False,False,False,False,ACH-000912
False,False,False,False,ACH-000529
False,False,False,False,ACH-000508
False,False,False,False,ACH-000577
False,False,False,False,ACH-000768
False,False,False,False,ACH-000636
False,False,False,False,ACH-000667
